index,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
155,CHEMBL1484370,Cc1no[n+]([O-])c1COc1ccccc1/C=C1\NC(=S)NC1=O,50000.0,inactive
156,CHEMBL1613272,Cc1ccccc1C(=O)Nc1nc2c(C)csc2c(=O)s1,50000.0,inactive
157,CHEMBL1418273,COc1ccccc1C(=O)Oc1cc(N)n(S(=O)(=O)c2ccc(C)cc2)n1,50000.0,inactive
158,CHEMBL1484618,O=C(OCC(=O)c1c[nH]c2ccccc12)c1ccc([N+](=O)[O-])s1,50000.0,inactive
159,CHEMBL1524172,O=C(O)c1cccc(NN=C2c3ccccc3-c3ccccc32)c1,50000.0,inactive
160,CHEMBL1547025,Cl.c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1,50000.0,inactive
161,CHEMBL63354,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,50000.0,inactive
162,CHEMBL1334062,Cn1nc(-c2ccc(Cl)cc2)nc2c(=O)n(C)c(=O)nc1-2,50000.0,inactive
163,CHEMBL1588106,N=C1/C(=C\c2coc3ccccc3c2=O)C(=O)N=C2SC(c3ccncc3)=NN12,9262.0,intermediate
164,CHEMBL1511080,Oc1ccc(Cl)cc1/C=C(\Cl)c1nc(O)c2ccc(Cl)cc2n1,50000.0,inactive
165,CHEMBL3199301,Cc1ccc(SC/C(O)=C(\C#N)c2nc3ccccc3s2)cc1,50000.0,inactive
166,CHEMBL1603938,Cc1ccc(C)c(SCC(=O)OC/C(O)=C(\C#N)c2nc3ccccc3[nH]2)c1,50000.0,inactive
167,CHEMBL2315790,c1ccc(OCc2nnc(SC3CCCC3)n2C2CCCCC2)cc1,30000.0,inactive
168,CHEMBL2315789,Clc1cc(Cl)cc(-n2c(COc3ccccc3)nnc2SC2CCCC2)c1,30000.0,inactive
169,CHEMBL2315788,[N-]=[N+]=Nc1cccc(-n2c(COc3ccccc3)nnc2SC2CCCC2)c1,2400.0,intermediate
170,CHEMBL2315787,Nc1cccc(-n2c(COc3ccccc3)nnc2SC2CCCC2)c1,1290.0,intermediate
171,CHEMBL2315786,FC(F)(F)c1cccc(-n2c(COc3ccccc3)nnc2SC2CCCC2)c1,30000.0,inactive
172,CHEMBL2315785,O=[N+]([O-])c1cccc(-n2c(COc3ccccc3)nnc2SC2CCCC2)c1,2810.0,intermediate
173,CHEMBL2315784,Cc1cccc(-n2c(COc3ccccc3)nnc2SC2CCCC2)c1,2780.0,intermediate
174,CHEMBL2315783,Brc1cccc(-n2c(COc3ccccc3)nnc2SC2CCCC2)c1,960.0,active
175,CHEMBL2315782,Clc1cccc(-n2c(COc3ccccc3)nnc2SC2CCCC2)c1,740.0,active
176,CHEMBL2315781,CC(C)Sc1nnc(COc2ccccc2)n1-c1cccnc1,2690.0,intermediate
177,CHEMBL2315780,CC(C)Sc1nnc(COc2ccccc2)n1Cc1ccccc1,30000.0,inactive
178,CHEMBL2315779,CC(C)Sc1nnc(COc2ccccc2)n1C,30000.0,inactive
179,CHEMBL2315778,COc1ccc(-n2c(COc3ccccc3)nnc2SC(C)C)cc1,30000.0,inactive
180,CHEMBL2315777,CC(C)Sc1nnc(COc2ccccc2)n1-c1ccc(Cl)cc1,30000.0,inactive
181,CHEMBL2315776,CC(C)Sc1nnc(COc2ccccc2)n1-c1ccc(F)cc1,19600.0,inactive
182,CHEMBL2315775,CC(C)Sc1nnc(COc2ccccc2)n1-c1cccc(C(F)(F)F)c1,30000.0,inactive
183,CHEMBL2315774,COc1cccc(-n2c(COc3ccccc3)nnc2SC(C)C)c1,16220.0,inactive
184,CHEMBL2315773,CC(C)Sc1nnc(COc2ccccc2)n1-c1cccc(Br)c1,2320.0,intermediate
185,CHEMBL2315772,CC(C)Sc1nnc(COc2ccccc2)n1-c1cccc(F)c1,2060.0,intermediate
186,CHEMBL2315771,CC(C)Sc1nnc(COc2ccccc2)n1-c1cccc(Cl)c1,1880.0,intermediate
187,CHEMBL2315770,COc1ccccc1-n1c(COc2ccccc2)nnc1SC(C)C,30000.0,inactive
188,CHEMBL2315769,CC(C)Sc1nnc(COc2ccccc2)n1-c1ccccc1F,19430.0,inactive
189,CHEMBL2315768,c1ccc(OCc2nnc(NC3CCCCC3)n2-c2ccccc2)cc1,3450.0,intermediate
190,CHEMBL2315767,c1ccc(OCc2nnc(NC3CCCC3)n2-c2ccccc2)cc1,2850.0,intermediate
191,CHEMBL2315766,CC(C)Nc1nnc(COc2ccccc2)n1-c1ccccc1,30000.0,inactive
192,CHEMBL2315765,c1ccc(OCc2nnc(CC3CCCCC3)n2-c2ccccc2)cc1,4300.0,intermediate
193,CHEMBL2315764,c1ccc(OCc2nnc(CC3CCCC3)n2-c2ccccc2)cc1,1970.0,intermediate
194,CHEMBL2315763,c1ccc(OCc2nnc(OC3CCCCC3)n2-c2ccccc2)cc1,1960.0,intermediate
195,CHEMBL2315471,c1ccc(OCc2nnc(OC3CCCC3)n2-c2ccccc2)cc1,2250.0,intermediate
196,CHEMBL2315470,CC(C)Oc1nnc(COc2ccccc2)n1-c1ccccc1,30000.0,inactive
197,CHEMBL2315469,c1ccc(OCc2nncn2-c2ccccc2)cc1,30000.0,inactive
198,CHEMBL1379971,Sc1nnc(COc2ccccc2)n1-c1ccccc1,30000.0,inactive
199,CHEMBL2315468,CC(C)S(=O)(=O)c1nnc(COc2ccccc2)n1-c1ccccc1,30000.0,inactive
200,CHEMBL2315467,c1ccc(CSc2nnc(COc3ccccc3)n2-c2ccccc2)cc1,30000.0,inactive
201,CHEMBL2315466,c1ccc(OCc2nnc(Sc3ccccc3)n2-c2ccccc2)cc1,3790.0,intermediate
202,CHEMBL2315465,c1ccc(OCc2nnc(SCC3CCCCC3)n2-c2ccccc2)cc1,30000.0,inactive
203,CHEMBL2315464,c1ccc(OCc2nnc(SCC3CCC3)n2-c2ccccc2)cc1,1150.0,intermediate
204,CHEMBL2315463,c1ccc(OCc2nnc(SC3CCCCC3)n2-c2ccccc2)cc1,960.0,active
205,CHEMBL2315462,c1ccc(OCc2nnc(SC3CCCC3)n2-c2ccccc2)cc1,720.0,active
206,CHEMBL2315461,c1ccc(OCc2nnc(SC3CCC3)n2-c2ccccc2)cc1,960.0,active
207,CHEMBL2315460,CC(C)CSc1nnc(COc2ccccc2)n1-c1ccccc1,1290.0,intermediate
208,CHEMBL2315459,CCSc1nnc(COc2ccccc2)n1-c1ccccc1,9920.0,intermediate
209,CHEMBL2315813,CSc1nnc(COc2ccccc2)n1-c1ccccc1,30000.0,inactive
210,CHEMBL2315812,CC(C)Sc1nnc(COc2ccccc2)n1-c1ccccc1,2690.0,intermediate
211,CHEMBL2315425,Cc1cc(OCc2nnc(SC3CCCC3)n2-c2cccnc2)ccc1-c1ccc(C=O)cc1,67.0,active
212,CHEMBL2315424,CC(=O)c1ccc(-c2ccc(OCc3nnc(SC4CCCC4)n3-c3cccnc3)cc2C)cc1,53.0,active
213,CHEMBL2311578,Cc1cc(OCc2nnc(SC3CCCC3)n2-c2cccnc2)ccc1-c1ccc(S(C)(=O)=O)cc1,24.0,active
214,CHEMBL2315423,CNC(=O)c1ccc(-c2ccc(OCc3nnc(SC4CCCC4)n3-c3cccnc3)cc2C)cc1,54.0,active
215,CHEMBL2315422,Cc1cc(OCc2nnc(SC3CCCC3)n2-c2cccnc2)ccc1-c1ccc(S(N)(=O)=O)cc1,25.0,active
216,CHEMBL2315421,CONC(=O)c1ccc(-c2ccc(OCc3nnc(SC4CCCC4)n3-c3cccnc3)cc2C)cc1,58.0,active
