,index,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
60,60,CHEMBL1517,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,inactive,460.43900000000014,-1.2435999999999974,7.0,10.0,4.301029995663981
61,61,CHEMBL1972037,NS(=O)(=O)c1ccc(N/N=C/c2ccc(O)c(O)c2O)c([N+](=O)[O-])c1,inactive,368.3270000000001,0.8049999999999999,5.0,9.0,4.301029995663981
62,62,CHEMBL1303508,O=C1NC(=S)S/C1=C\c1c(-c2ccccc2)[nH]c2ccccc12,inactive,336.4410000000001,4.323700000000001,2.0,3.0,4.301029995663981
63,63,CHEMBL601757,Cc1nc2c(=O)n(C)c(=O)nc-2n(C)n1,inactive,207.19299999999998,-1.3177800000000004,0.0,7.0,4.301029995663981
64,64,CHEMBL1462375,Cc1[nH]c2ccccc2c1C(=O)CCl,inactive,207.65999999999994,2.897820000000001,1.0,1.0,4.301029995663981
65,65,CHEMBL1362734,CCn1nc([N+](=O)[O-])c(C(C#N)c2nc3cc(C(F)(F)F)ccc3s2)c(Cl)c1=O,inactive,443.79400000000004,4.108780000000001,0.0,8.0,4.301029995663981
66,66,CHEMBL1362595,CC(C)c1nc2sc3c(S)ncnc3c2c2c1CCC2,inactive,301.44000000000017,4.1403000000000025,1.0,5.0,4.374584647845592
67,67,CHEMBL1424118,Nc1nc(CCl)nc(Nc2ccc3ccccc3c2)n1,inactive,285.73800000000006,3.0894000000000013,2.0,5.0,4.301029995663981
68,68,CHEMBL1606112,O=C(Nc1ccc(F)cc1)C1C(c2ccccc2)C1(Cl)Cl,inactive,324.182,4.351700000000002,1.0,1.0,4.301029995663981
69,69,CHEMBL1532953,CCCCn1c(NS(=O)(=O)c2ccc(C)cc2)c(S(=O)(=O)c2ccccc2)c2nc3ccccc3nc21,inactive,534.6630000000001,5.326620000000005,1.0,7.0,4.301029995663981
70,70,CHEMBL1375922,Fc1ccccc1-c1nc(NCc2ccccc2)c2ccccc2n1,inactive,329.37800000000004,5.048000000000004,1.0,3.0,4.301029995663981
71,71,CHEMBL2005296,COc1ccc(/C=N/Nc2nnc(-c3ccccc3)c(O)n2)cc1,inactive,321.34000000000003,2.698800000000001,2.0,7.0,4.301029995663981
72,72,CHEMBL1425538,O=C(O[C@@H]1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]([C@@H]2O)[C@H]1O)c1cc(O)c(O)c(O)c1,intermediate,634.4550000000004,-0.29650000000000065,11.0,18.0,5.377268034835281
73,73,CHEMBL1306199,N#Cc1c(NC(=O)c2ccccc2Cl)n(Cc2ccccc2)c2nc3ccccc3nc12,inactive,437.8900000000001,5.410180000000003,1.0,5.0,4.301029995663981
74,74,CHEMBL1306258,Cc1cc(Nc2ccccc2)nc(-c2ccccc2O)n1,inactive,277.327,3.9012200000000017,2.0,4.0,4.301029995663981
75,75,CHEMBL1306425,[O-][n+]1onc2c1CCc1[nH]c(-c3ccccc3)nc1-2,inactive,254.24900000000002,1.4637,1.0,4.0,4.301029995663981
76,76,CHEMBL1560833,Cc1n[nH]c(S/C(=C\c2ccc(-c3ccc(C(=O)O)c(Cl)c3)o2)C(=O)O)n1,inactive,405.81900000000013,3.942520000000002,3.0,6.0,4.301029995663981
77,77,CHEMBL1416392,CSC1=NSC2=NC(=O)/C(=C\c3c(C)[nH]c4ccccc34)C(=N)N12,inactive,355.44800000000004,3.4159900000000007,2.0,5.0,4.664141088680182
78,78,CHEMBL1504948,Cc1[nH]c2ccccc2c1/C=C1/C(=N)N2C(=NC1=O)SN=C2S(=O)(=O)CC(C)C,inactive,429.52700000000016,3.1237900000000023,2.0,6.0,4.909036923404268
79,79,CHEMBL1426692,N#Cc1c(N2CCCCC2)nc(N)c2c(N)nc(SCC(=O)O)cc12,inactive,358.4270000000001,1.8328799999999998,3.0,8.0,4.301029995663981
80,80,CHEMBL1307594,Oc1cc(CCl)nc2nc3ccccc3n12,inactive,233.65800000000004,2.3269,1.0,4.0,4.301029995663981
81,81,CHEMBL1404929,O=C(NNc1c2ccccc2nc2ccccc12)c1ccc(O)cc1O,inactive,345.35800000000006,3.556100000000001,4.0,5.0,4.301029995663981
